"","UF","region","region_name","microregion","microregion_name","pop","gdp","week","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old","deaths","lgdp","lpop","isolated","s_date","year","month"
"1","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,5,54,26,28,35,19,2,1,1,0,2,56,27,29,35,21,18,9.51765412778602,11.9783812685158,0.323569655475821,2020-02-03,2020,2
"2","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,6,58,22,36,27,31,0,0,0,0,0,58,22,36,27,31,10,9.51765412778602,11.9783812685158,0.301824599718657,2020-02-10,2020,2
"3","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,7,68,29,39,38,30,0,0,0,0,0,68,29,39,38,30,13,9.51765412778602,11.9783812685158,0.314457419292732,2020-02-17,2020,2
"4","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,8,71,29,42,35,36,2,2,0,0,2,73,31,42,35,38,7,9.51765412778602,11.9783812685158,0.348216647119355,2020-02-24,2020,2
"5","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,9,62,25,37,27,35,1,1,0,0,1,63,26,37,27,36,14,9.51765412778602,11.9783812685158,0.330607749955718,2020-03-02,2020,3
"6","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,10,62,21,41,36,26,0,0,0,0,0,62,21,41,36,26,6,9.51765412778602,11.9783812685158,0.341206928112389,2020-03-09,2020,3
"7","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,11,40,24,16,19,21,0,0,0,0,0,40,24,16,19,21,9,9.51765412778602,11.9783812685158,0.404247306648029,2020-03-16,2020,3
"8","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,12,38,23,15,21,17,0,0,0,0,0,38,23,15,21,17,6,9.51765412778602,11.9783812685158,0.50646298957826,2020-03-23,2020,3
"9","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,13,31,15,16,17,14,2,0,2,2,0,33,15,18,19,14,13,9.51765412778602,11.9783812685158,0.478538616485944,2020-03-30,2020,3
"10","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,14,15,8,7,10,5,0,0,0,0,0,15,8,7,10,5,12,9.51765412778602,11.9783812685158,0.475734035507001,2020-04-06,2020,4
"11","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,15,29,15,14,10,19,0,0,0,0,0,29,15,14,10,19,13,9.51765412778602,11.9783812685158,0.474960447769591,2020-04-13,2020,4
"12","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,16,25,8,17,13,12,1,1,0,1,0,26,9,17,14,12,10,9.51765412778602,11.9783812685158,0.496026562879652,2020-04-20,2020,4
"13","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,17,28,12,16,15,13,1,1,0,1,0,29,13,16,16,13,11,9.51765412778602,11.9783812685158,0.476730027298026,2020-04-27,2020,4
"14","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,18,32,13,19,22,10,0,0,0,0,0,32,13,19,22,10,9,9.51765412778602,11.9783812685158,0.520087749737868,2020-05-04,2020,5
"15","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,19,32,15,17,22,10,0,0,0,0,0,32,15,17,22,10,6,9.51765412778602,11.9783812685158,0.523794505858201,2020-05-11,2020,5
"16","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,20,36,19,17,19,17,2,2,0,2,0,38,21,17,21,17,23,9.51765412778602,11.9783812685158,0.532777711003798,2020-05-18,2020,5
"17","AC",1,"Norte",12001,"Cruzeiro do Sul",159274,13597.6753611387,21,43,23,20,20,23,0,0,0,0,0,43,23,20,20,23,14,9.51765412778602,11.9783812685158,0.506308414346718,2020-05-25,2020,5
"18","AC",1,"Norte",12002,"Tarauacá",86508,10966.6734802562,5,39,22,17,21,18,0,0,0,0,0,39,22,17,21,18,4,9.30261626938511,11.3679921741926,0.30549447076347,2020-02-03,2020,2
