"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"1",2018,1,"AC",1435,640,795,730,705,13,5,8,7,6,1448,645,803,737,711
"2",2018,1,"AL",3853,1683,2170,1998,1855,47,22,25,24,23,3900,1705,2195,2022,1878
"3",2018,1,"AM",6997,2533,4464,3711,3286,56,24,32,22,34,7053,2557,4496,3733,3320
"4",2018,1,"AP",1291,478,813,653,638,14,3,11,3,11,1305,481,824,656,649
"5",2018,1,"BA",15302,4850,10452,6293,9009,195,80,115,68,127,15497,4930,10567,6361,9136
"6",2018,1,"CE",10291,3274,7017,4263,6028,109,47,62,45,64,10400,3321,7079,4308,6092
"7",2018,1,"DF",3757,657,3100,1107,2650,28,8,20,7,21,3785,665,3120,1114,2671
"8",2018,1,"ES",4457,1194,3263,1547,2910,26,10,16,13,13,4483,1204,3279,1560,2923
"9",2018,1,"GO",8230,1751,6479,3308,4922,89,31,58,35,54,8319,1782,6537,3343,4976
"10",2018,1,"MA",10297,3661,6636,5363,4934,157,68,89,63,94,10454,3729,6725,5426,5028
"11",2018,1,"MG",21108,4682,16426,7314,13794,174,56,118,60,114,21282,4738,16544,7374,13908
"12",2018,1,"MS",3550,1076,2474,1508,2042,28,14,14,13,15,3578,1090,2488,1521,2057
"13",2018,1,"MT",4815,1058,3757,2071,2744,47,17,30,20,27,4862,1075,3787,2091,2771
"14",2018,1,"PA",11955,4931,7024,6362,5593,128,67,61,56,72,12083,4998,7085,6418,5665
"15",2018,1,"PB",5090,1792,3298,2098,2992,45,14,31,22,23,5135,1806,3329,2120,3015
"16",2018,1,"PE",11314,3862,7452,4983,6331,90,42,48,41,49,11404,3904,7500,5024,6380
"17",2018,1,"PI",4424,1504,2920,2017,2407,49,15,34,14,35,4473,1519,2954,2031,2442
"18",2018,1,"PR",12285,2948,9337,4477,7808,79,30,49,25,54,12364,2978,9386,4502,7862
"19",2018,1,"RJ",16281,4116,12165,6315,9966,181,76,105,66,115,16462,4192,12270,6381,10081
"20",2018,1,"RN",4043,1316,2727,1619,2424,43,22,21,23,20,4086,1338,2748,1642,2444
"21",2018,1,"RO",2392,754,1638,1093,1299,9,3,6,4,5,2401,757,1644,1097,1304
"22",2018,1,"RR",1295,414,881,663,632,11,3,8,6,5,1306,417,889,669,637
"23",2018,1,"RS",11288,3221,8067,3777,7511,71,27,44,24,47,11359,3248,8111,3801,7558
