"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"1",2018,1,"AC",1435,640,795,730,705,13,0,0,0,0,1448,640,795,730,705
"2",2018,1,"AL",3853,1683,2170,1998,1855,47,0,0,0,0,3900,1683,2170,1998,1855
"3",2018,1,"AM",6997,2533,4464,3711,3286,56,0,0,0,0,7053,2533,4464,3711,3286
"4",2018,1,"AP",1291,478,813,653,638,14,0,0,0,0,1305,478,813,653,638
"5",2018,1,"BA",15302,4850,10452,6293,9009,195,0,0,0,0,15497,4850,10452,6293,9009
"6",2018,1,"CE",10291,3274,7017,4263,6028,109,0,0,0,0,10400,3274,7017,4263,6028
"7",2018,1,"DF",3757,657,3100,1107,2650,28,0,0,0,0,3785,657,3100,1107,2650
"8",2018,1,"ES",4457,1194,3263,1547,2910,26,0,0,0,0,4483,1194,3263,1547,2910
"9",2018,1,"GO",8230,1751,6479,3308,4922,89,0,0,0,0,8319,1751,6479,3308,4922
"10",2018,1,"MA",10297,3661,6636,5363,4934,157,0,0,0,0,10454,3661,6636,5363,4934
"11",2018,1,"MG",21108,4682,16426,7314,13794,174,0,0,0,0,21282,4682,16426,7314,13794
"12",2018,1,"MS",3550,1076,2474,1508,2042,28,0,0,0,0,3578,1076,2474,1508,2042
"13",2018,1,"MT",4815,1058,3757,2071,2744,47,0,0,0,0,4862,1058,3757,2071,2744
"14",2018,1,"PA",11955,4931,7024,6362,5593,128,0,0,0,0,12083,4931,7024,6362,5593
"15",2018,1,"PB",5090,1792,3298,2098,2992,45,0,0,0,0,5135,1792,3298,2098,2992
"16",2018,1,"PE",11314,3862,7452,4983,6331,90,0,0,0,0,11404,3862,7452,4983,6331
"17",2018,1,"PI",4424,1504,2920,2017,2407,49,0,0,0,0,4473,1504,2920,2017,2407
"18",2018,1,"PR",12285,2948,9337,4477,7808,79,0,0,0,0,12364,2948,9337,4477,7808
"19",2018,1,"RJ",16281,4116,12165,6315,9966,181,0,0,0,0,16462,4116,12165,6315,9966
"20",2018,1,"RN",4043,1316,2727,1619,2424,43,0,0,0,0,4086,1316,2727,1619,2424
"21",2018,1,"RO",2392,754,1638,1093,1299,9,0,0,0,0,2401,754,1638,1093,1299
"22",2018,1,"RR",1295,414,881,663,632,11,0,0,0,0,1306,414,881,663,632
"23",2018,1,"RS",11288,3221,8067,3777,7511,71,0,0,0,0,11359,3221,8067,3777,7511
"24",2018,1,"SC",7725,1866,5859,2555,5170,59,0,0,0,0,7784,1866,5859,2555,5170
"25",2018,1,"SE",2619,1031,1588,1141,1478,26,0,0,0,0,2645,1031,1588,1141,1478
"26",2018,1,"SP",48135,7668,40467,15652,32483,355,0,0,0,0,48490,7668,40467,15652,32483
"27",2018,1,"TO",2174,573,1601,1044,1130,15,0,0,0,0,2189,573,1601,1044,1130
"28",2018,2,"AC",1143,507,636,579,564,15,0,0,0,0,1158,507,636,579,564
"29",2018,2,"AL",3163,1322,1841,1644,1519,30,0,0,0,0,3193,1322,1841,1644,1519
"30",2018,2,"AM",6064,2305,3759,3154,2910,74,0,0,0,0,6138,2305,3759,3154,2910
