"","UF","name","popm","gdpc","microregion","microregion_name","region","region_name","urban","codmun6","month","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old","deaths","lgdp","lpop","isolated","n"
"1","RO","Alta Floresta D'Oeste",22728,21552.47,11006,"Cacoal",1,"Norte",0,"110001",2,24,8,16,8,16,0,0,0,0,0,24,8,16,8,16,10,9.97824570613322,10.031352923534,0.313762028255278,29
"2","RO","Alta Floresta D'Oeste",22728,21552.47,11006,"Cacoal",1,"Norte",0,"110001",3,20,6,14,10,10,0,0,0,0,0,20,6,14,10,10,8,9.97824570613322,10.031352923534,0.410957733516824,31
"3","RO","Alta Floresta D'Oeste",22728,21552.47,11006,"Cacoal",1,"Norte",0,"110001",4,27,12,15,13,14,0,0,0,0,0,27,12,15,13,14,11,9.97824570613322,10.031352923534,0.411934125123187,30
"4","RO","Alta Floresta D'Oeste",22728,21552.47,11006,"Cacoal",1,"Norte",0,"110001",5,24,6,18,13,11,0,0,0,0,0,24,6,18,13,11,10,9.97824570613322,10.031352923534,0.439771444109699,31
"5","RO","Ariquemes",109523,23206.36,11003,"Ariquemes",1,"Norte",1,"110002",2,112,33,79,53,59,0,0,0,0,0,112,33,79,53,59,33,10.0521816580165,11.6038898518443,0.302274032496523,29
"6","RO","Ariquemes",109523,23206.36,11003,"Ariquemes",1,"Norte",1,"110002",3,127,34,93,67,60,3,1,2,1,2,130,35,95,68,62,50,10.0521816580165,11.6038898518443,0.382985907351202,31
"7","RO","Ariquemes",109523,23206.36,11003,"Ariquemes",1,"Norte",1,"110002",4,129,31,98,55,74,2,0,2,0,2,131,31,100,55,76,44,10.0521816580165,11.6038898518443,0.415762381587051,30
"8","RO","Ariquemes",109523,23206.36,11003,"Ariquemes",1,"Norte",1,"110002",5,138,34,104,64,74,2,1,1,1,1,140,35,105,65,75,48,10.0521816580165,11.6038898518443,0.395834346236795,31
"9","RO","Cacoal",85893,25708.96,11006,"Cacoal",1,"Norte",1,"110004",2,112,17,95,41,71,0,0,0,0,0,112,17,95,41,71,26,10.1545948482555,11.3608576145471,0.316755494112133,29
"10","RO","Cacoal",85893,25708.96,11006,"Cacoal",1,"Norte",1,"110004",3,122,26,96,44,78,0,0,0,0,0,122,26,96,44,78,44,10.1545948482555,11.3608576145471,0.412615702474296,31
